text,start,stop
hebben intussen meer macht ...,00:05:26.280,00:05:28.680
"als Rosenveld, Churchill, Stalin  en Hitler samen.",00:05:28.820,00:05:32.240
Toen waren we geen 7 miljard mensen ...,00:05:32.340,00:05:34.340
Zelfs deze vier personen moesten zich de macht op deze planeet delen.,00:05:34.480,00:05:37.300
Ondertussen is het zo dat het een echtpaar is dat de hele wereld dicteert ...,00:05:37.500,00:05:41.500
hoe iedereen leven moet.,00:05:41.500,00:05:43.360
"En men kan nu over Corona zeggen wat men wil,",00:05:43.700,00:05:46.560
"maar in een een democratie zou daar over gediscussieerd moeten worden,",00:05:46.820,00:05:49.140
"maar er wordt niet over gediscussieerd,",00:05:49.140,00:05:51.000
"maar in tegendeel, het echtpaar Gates ...",00:05:51.300,00:05:53.460
heeft over de WHO ...,00:05:53.460,00:05:55.280
de Duitse Democratie gekaapt.,00:05:55.320,00:05:57.320
En er zijn duidelijk mededaders ...,00:05:57.620,00:05:59.780
dat is onze regering ...,00:05:59.800,00:06:01.800
vooral Angela Merkel ...,00:06:02.080,00:06:04.080
dat alles in het verborgen ...,00:06:04.080,00:06:05.500
in de achterkamers gebeurd.,00:06:05.500,00:06:06.840
"Men heeft nu besloten,",00:06:07.040,00:06:09.040
"en reeds gefinancierd,",00:06:09.040,00:06:10.900
"gaat dan in de Bondesdag,",00:06:11.040,00:06:13.040
"Dat lees je niet inde pers want het is veel te belangrijk,",00:06:13.560,00:06:15.560
dat het ons niet betreffen zal ...,00:06:15.560,00:06:17.340
Het geeft nu een document daar zou men graag ...,00:06:17.640,00:06:19.640
daar wil men graag ...,00:06:19.980,00:06:21.980
"de immuniteit wet veranderen,",00:06:22.200,00:06:24.460
men wil die wet veranderen die bepaald hoelang medicamenten getest moeten worden ...,00:06:24.640,00:06:28.760
tot ze op de Duitse markt komen.,00:06:28.760,00:06:30.760
En wat is daar nu het plan?,00:06:31.080,00:06:33.080
"om het grof samen te vatten,",00:06:33.080,00:06:34.860
het gaat er om dat ...,00:06:34.860,00:06:36.000
een inentingsplicht via de achterdeur ingevoerd wordt.,00:06:36.160,00:06:39.100
En dat ziet er als het volgt uit ...,00:06:39.100,00:06:41.040
"U kunt alles doen wat u voorheen deed,",00:06:41.340,00:06:43.700
als u ingeënt bent.,00:06:43.880,00:06:45.880
"En natuurlijk met de middelen die de Bill En Melinda Gates Foundation ter beschikking stelt,",00:06:46.580,00:06:50.020
maar als u zich niet inenten laat verliest u vele rechten.,00:06:50.260,00:06:53.920
"Ik moet het herhalen zodat het jullie duidelijk is, want de meesten is het niet duidelijk.",00:06:54.660,00:06:57.900
Omdat de klassieke propaganda media ...,00:06:58.180,00:07:00.700
dat niet brengen.,00:07:00.880,00:07:02.880
Dus ...,00:07:02.880,00:07:03.800
Het wordt dus door een verandering van  ...,00:07:04.040,00:07:06.440
van deze wet ...,00:07:06.740,00:07:08.980
wordt door de achterdeur ...,00:07:09.280,00:07:11.620
"een inentingsplicht ingevoerd,",00:07:11.620,00:07:12.700
en als u zich niet inenten laat ...,00:07:12.700,00:07:14.520
met deze medicamenten die niet lang genoeg getest worden ...,00:07:14.720,00:07:17.520
"dan kunt u vele beropen niet meer uitvoeren,",00:07:17.840,00:07:20.160
"bijvoorbeeld beroepen waar u met mensen te maken hebt,",00:07:20.560,00:07:22.700
"daar wordt dan ook voorgeschreven ,,,",00:07:22.960,00:07:24.960
"dat deze inentingspas die u bij u hebben moet,",00:07:24.960,00:07:26.300
"als u die niet ingevuld hebt,",00:07:26.300,00:07:27.800
"als u niet de nieuwste inentingen hebt,",00:07:27.960,00:07:30.260
Dat u vele landen niet meer bereizen mag.,00:07:32.220,00:07:34.220
Dat alles ...,00:07:34.220,00:07:35.880
schrijft Bill en Belinda Gates voor.,00:07:36.020,00:07:38.020
Vandaag de vierde geeft het ...,00:07:38.820,00:07:40.820
een gever conferentie ...,00:07:40.820,00:07:42.720
en dat slaat werkelijk alles ...,00:07:42.740,00:07:44.740
"Angela Merkel heeft dat op haar eigen website aangeprezen,",00:07:45.020,00:07:48.940
daar gaat het er om ...,00:07:49.240,00:07:51.240
dat Bill en Melinda Gates over Angela Merkel ..,00:07:51.540,00:07:54.600
"ons die door de lockdown zware schade opgelopen hebben,",00:07:54.680,00:07:56.680
"velen van jullie zijn failliet,",00:07:56.680,00:07:58.380
vraagt on een financieringsgat ...,00:07:58.520,00:08:00.520
"te vullen, er zijn ja 8 miljard te weinig,",00:08:00.520,00:08:02.220
"om een entstof te ontwikkelen van de Bill en Melinda Gates Foundation,",00:08:02.520,00:08:06.360
die wij dan moeten afnemen.,00:08:06.380,00:08:08.380
"Dat moet u zich voorstellen,",00:08:08.380,00:08:10.280
"één van de rijkste mensen ter wereld,",00:08:10.340,00:08:12.340
"Bill Gates vraaft ons over het ""kanselarij¨ ,",00:08:12.680,00:08:15.220
"die ons in de lockdown gezet heeft zodat we niet weten hoe we door de dag moeten komen,",00:08:15.600,00:08:17.760
"daarom vraagt geld uit te geven,",00:08:18.960,00:08:20.960
"zodat daar medicamenten ontwikkelt kunnen worden,",00:08:21.020,00:08:23.020
die wij dan innemen moeten ....,00:08:23.020,00:08:24.840
terwijl men er bij zegt dat de testfase wordt verkort.,00:08:25.120,00:08:27.680
Ik ken mensen ...,00:08:27.860,00:08:29.760
die hebben zich indertijd ...,00:08:29.760,00:08:31.920
"met inentingsmiddelen die de bonds regering ook ingekocht had,",00:08:32.180,00:08:35.320
voor de varkensgriep inenten laten ...,00:08:35.320,00:08:37.220
"hun kinderen deze inenting laten doen,",00:08:37.220,00:08:39.000
en deze kinderen zijn nu gehandicapt.,00:08:39.000,00:08:40.900
En daar ken ik heel wat mensen ...,00:08:41.180,00:08:43.180
Die kinderen hebben een epilepsie of ...,00:08:43.180,00:08:44.640
of ander bijwerkingen en zijn gehandicapt.,00:08:44.900,00:08:46.900
En daar staat nu klein gedrukt in deze wet ...,00:08:47.240,00:08:49.240
dat daar de staat verantwoordelijk voor is.,00:08:49.340,00:08:51.340
Die middelen die wij kopen moeten ...,00:08:52.160,00:08:54.160
"waarvoor wij doneren moeten,",00:08:54.160,00:08:55.240
daarmee de rijikste of 2de rijkste man van de wereld ...,00:08:55.260,00:08:57.260
deze middelen voor ons ontwikkelen kan ...,00:08:57.260,00:08:58.520
"zonder dat we daarom gevraagd hebben,",00:08:58.520,00:08:59.760
De donaties daarvoor landen natuurlijk ook ...,00:09:00.000,00:09:02.000
"bij firma's waar hij aandelen iin heeft,",00:09:02.020,00:09:04.020
waar hij dan aan mee verdiend.,00:09:04.040,00:09:06.040
Dat geheel onder onzelfzuchtig wordt gedeclareerd.,00:09:06.220,00:09:08.220
Maar het is kapen van de democratie ...,00:09:08.220,00:09:10.120
en waarmee heeft dat te doen?,00:09:10.120,00:09:11.280
Het heeft daarmee te doen dat wij in dit systeem ...,00:09:12.500,00:09:14.840
"in kapitalisme, discuseieren we niet over het woord,",00:09:14.940,00:09:16.940
het toelaat dat mensen ...,00:09:17.040,00:09:19.040
personen,00:09:19.040,00:09:20.180
zo ongelooflijk rijk worden ...,00:09:20.180,00:09:22.040
dat ze alles kopen kunnen.,00:09:22.040,00:09:23.700
En men kan dit systeem alleen aanpakken ...,00:09:24.060,00:09:26.440
indien men de rijkdom begrenst.,00:09:26.720,00:09:28.860
"Hadden Bill en Melinda Gates maar 50 miljoen ter beschikking,",00:09:29.140,00:09:31.900
of 500 miljoen.,00:09:32.140,00:09:34.360
dan ging het niet.,00:09:34.360,00:09:35.420
Maar omdat ze miljarden hebben ....,00:09:35.600,00:09:37.600
"kunnen ze zich overal inkopen,",00:09:37.600,00:09:38.860
"ze kunnen zelfs de WHO kapen,",00:09:39.080,00:09:42.100
ze kunnen zelfs deze regering kapen.,00:09:42.100,00:09:43.760
"De Oostenrijkse regering kapen,",00:09:43.760,00:09:45.580
"De Italiaanse regering kapen,",00:09:45.580,00:09:46.460
"ze kunnen zich overal in de wereld inkopen,",00:09:46.460,00:09:48.360
En hun persoonlijke wil ...,00:09:48.540,00:09:50.540
en hun persoonlijk idee hoe de wereld er uit zien moet.,00:09:50.840,00:09:53.020
doorzetten tegen de wil van ons allen.,00:09:53.320,00:09:56.240
Bill en Melinda Gates hebben in dit land ...,00:09:57.100,00:09:59.100
meer te zeggen als 83 miljoen burgers.,00:09:59.360,00:10:01.800
Natuurlijk alleen zo lang ...,00:10:02.060,00:10:04.060
als 83 miljoen burgers dit pikken.,00:10:04.300,00:10:06.580
"En daar zijn wij bij het Trojaanse paard gezondheid,",00:10:06.860,00:10:09.420
"Als het deze rijke mensen op deze planeet werkelijk om gezondheid ging,",00:10:09.660,00:10:13.220
dan zouden ze er voor zorgen dat alle levensmiddelen zo verdeeld worden dat niet elke 5 seconden een kind verhongerd.,00:10:13.540,00:10:19.320
Dat doen ze helemaal niet want dat heeft een reden.,00:10:19.500,00:10:21.800
Bill en Melinda Gates hebben al in 2010 geschreven ...,00:10:22.160,00:10:25.180
dat we op deze planeet een probleem hebben namens overbevolking.,00:10:25.360,00:10:29.620
Nu kan men ook dat weer discuseieren ...,00:10:29.800,00:10:31.800
ok we zijn nu met 7 á 8  miljarden ...,00:10:31.800,00:10:33.780
"zo precies weet dat niemand,",00:10:33.780,00:10:35.160
Als er nog eens 8 miljard bijkomen kan het zijn dat deze planeet ...,00:10:35.320,00:10:38.860
in mekaar stort.,00:10:38.860,00:10:40.360
Daarover kan men discuseieren ...,00:10:40.360,00:10:41.860
dus we moeten er voor zorgen dat de bevolking gereduceerd wordt.,00:10:42.140,00:10:45.420
De Chinezen hebben het geprobeerd met de één kind politiek en hebben dat inmiddels opgegeven.,00:10:45.420,00:10:48.640
Dat is een discussie die wij op deze planeet moeten voeren.,00:10:48.920,00:10:51.840
Maar ze wordt niet gevoerd.,00:10:51.840,00:10:52.960
Maar Bill en Melinda hebben er al over gedacht ...,00:10:53.360,00:10:56.000
om door inentingen mensen te reduceren ...,00:10:56.280,00:10:59.480
omdat deze entstoffen ook sterilisatie middelen bevatten.,00:10:59.820,00:11:02.460
Zodat de mensen geen kinderen meer kunnen krijgen.,00:11:02.800,00:11:05.180
"Nu houdt u vast,",00:11:05.180,00:11:06.740
"het werd al geprobeerd op mensen die het niet wisten,",00:11:06.880,00:11:08.880
"dat is in Afrika geprobeert,",00:11:08.880,00:11:10.700
"Bill en Melinda Gates hebben dat in Afrika getest,",00:11:10.940,00:11:13.040
en ze hebben het ook in India getest.,00:11:13.280,00:11:15.280
In vele van deze landen is de Bill en Melinda Gates Foundation niet meer welkom.,00:11:15.460,00:11:17.900
Maar ze hebben het aan weerloze mensen getest ...,00:11:17.960,00:11:19.960
het gaf heel veel inenting schade ...,00:11:20.180,00:11:22.180
duizende van mensen ...,00:11:22.180,00:11:24.040
dat zijn proefkonijnen..,00:11:24.040,00:11:25.780
"En ook met het idee, men wil ...",00:11:26.000,00:11:28.300
velen in de wereld helpen ...,00:11:28.300,00:11:29.600
"gaat het volledig in de verkeerde richting,",00:11:29.600,00:11:31.500
want deze mensen werd ja niets gevraagd ...,00:11:31.760,00:11:33.760
die proberen dat heel zeker niet op zich zelf uit.,00:11:33.760,00:11:35.580
En dat herinnert mij toch heel sterk ...,00:11:35.680,00:11:37.680
aan 100 120 jaar geleden ...,00:11:38.040,00:11:40.640
"gaf het ook een hele sterke trend op deze globes,",00:11:40.680,00:11:42.680
"euthanasie trend,",00:11:42.680,00:11:43.940
men wilde ook de gehandicapten kwijt worden.,00:11:44.220,00:11:47.340
"Dat werd heel snel gezien als onwaardig,",00:11:47.760,00:11:49.760
Ook daarachter was het idee de mensen te redden.,00:11:49.760,00:11:51.400
En wat is daarvan terecht gekomen?,00:11:51.400,00:11:52.540
Dat eindigde in Auschwitz..,00:11:52.600,00:11:54.600
"En voor de zelfde situatie staan wij nu,",00:11:54.880,00:11:57.620
"Een echtpaar en een paar investeerders op de achtergrond,",00:11:57.840,00:12:00.780
"die zich bedenken hoe de toekomstige mensheid er uit moet zien,",00:12:00.980,00:12:05.200
zodat het in hun concept past.,00:12:05.200,00:12:06.940
"En wij zijn in de weg,",00:12:07.120,00:12:09.120
"Kaapt men onze regering of andere regeringen,",00:12:09.500,00:12:14.300
"en zet ze in een dwangbuis,",00:12:14.640,00:12:16.900
Het interessante is ...,00:12:16.900,00:12:18.200
dat ons gezondheidsministerie ...,00:12:18.480,00:12:20.480
"door heer Spaan, een bankier geleid wordt.",00:12:20.480,00:12:22.880
"En nu moest deze bankier en vrouw Merkel toegeven dat ze zich verrekend hadden,",00:12:23.200,00:12:28.080
"Die man is geen arts,",00:12:28.340,00:12:30.340
en rekenen kan hij ook niet.,00:12:30.340,00:12:31.840
Ze hebben zich om 1/3de verekend.,00:12:32.100,00:12:34.960
Dat moet zich voorstellen ...,00:12:34.960,00:12:36.260
"zelfs als bankier is deze man een absolute 0,",00:12:36.480,00:12:39.340
omdat hij zich om 1/3de verekend heeft.,00:12:39.340,00:12:41.000
Daarom kan ik maar één ding zeggen ...,00:12:41.000,00:12:42.780
"We hebben geluk dat wij het bij Covid-19 met een minder erstige griep te maken hebben,",00:12:43.080,00:12:47.060
"die niet zo erg is als gezegd wordt, een Trojaans paard,",00:12:47.380,00:12:50.540
als we het werkelijk met de pest de doen hadden of hondsdolheid.,00:12:50.840,00:12:52.980
Dan waren deze mensen bediend.,00:12:52.980,00:12:54.800
"Ik wil jullie er op wijzen want deze regering hangt het niet aan de grote klok,",00:12:55.020,00:12:59.120
"In 20112 had deze regering al een noodplan gediscussieerd,",00:12:59.400,00:13:04.280
wat men doen zou als het tot een pandemie zou komen.,00:13:04.440,00:13:07.040
Ze hadden jaren de tijd om zich voor te breiden ...,00:13:08.680,00:13:11.780
en toch hebben we dit soort management met lockdown.,00:13:12.140,00:13:14.240
"Met leegstaande ziekenhuizen,",00:13:14.240,00:13:15.900
Dat men maskers dragen moet waarvan elke normale arts zegt die zijn schadelijk.,00:13:16.900,00:13:20.440
"Dat elke deelstaat doet wat het wil,",00:13:20.820,00:13:22.820
da is niet gesynchroniseerd.,00:13:22.820,00:13:24.240
En dat niemand weet hoe we hier weer uitkomen.,00:13:24.840,00:13:27.020
Zelfs met deze lange aanloop heeft de Merkel regering dit ding vol tegen de wand gevaren.,00:13:27.180,00:13:32.000
Deze vrouw is volledig onkundig.,00:13:32.340,00:13:34.340
Nu komen we tot een heel belangrijk punt.,00:13:34.440,00:13:36.440
We hebben in Duitslands steeds meer kleinere demonstraties.,00:13:36.720,00:13:39.200
in Berlijn zijn ze niet zo groot omdat ...,00:13:39.200,00:13:41.020
"Ik weet niet waarom,",00:13:41.020,00:13:42.160
"misschien hebben die mensen wat anders te doen,",00:13:42.160,00:13:43.040
"of het geeft zovele mensen in de bijstand die niet weten waar ze blijven,",00:13:43.320,00:13:46.080
"of geen openbare verkeersmiddelen willen gebruiken in verband met besmettelijkheid,",00:13:46.220,00:13:49.280
"Men weet het ja alles niet, maar ...",00:13:49.280,00:13:50.660
het geeft andere steden waar meer mensen op de straat zijn ....,00:13:50.860,00:13:53.160
en ik wil langs deze weg Stuttgart loven.,00:13:53.420,00:13:56.080
"Ik heb me dat in Stuttgart bekeken,",00:13:56.080,00:13:57.580
"De Stuttgart bevolking weet ja sinds Stuttgart 21,",00:13:57.860,00:14:00.380
Dat ook een deelstaat regering liegt dat de balken zich buigen.,00:14:00.640,00:14:02.880
Maar ook DDR bugers weten dat landen liegen dat de balken zich buigen.,00:14:03.140,00:14:07.820
Niemand heeft het plan om een muur te bouwen.,00:14:08.080,00:14:10.980
En de westerse regeringen liegen ja net zo hard.,00:14:11.260,00:14:14.580
"Onze Kanselier Angela Merkel is een motorische leugenaar,",00:14:14.820,00:14:18.040
"ze heeft ons bij de banken crisis belogen,",00:14:18.300,00:14:21.520
ze heeft de banken gered en de staat uitgeplunderd.,00:14:21.920,00:14:23.920
"Ze heeft ons bij de vluchtelingen crisis belogen met ""Wir Schaffen das"",",00:14:24.280,00:14:29.240
"dat hebben we dus niet gered. En zij weet wat de definitie van ""Wir schaffen das"" is.",00:14:29.240,00:14:31.060
"Ze heeft tegen de grondwet verstoten,",00:14:31.560,00:14:33.840
en dat ook de parlementarise wetenschappelijke dienst ...,00:14:34.080,00:14:38.140
ook onderzocht.,00:14:38.140,00:14:39.680
"En ze verstoot nu weer tegen de grondwet,",00:14:39.680,00:14:41.180
door de grondwet grotendeels buiten werking te zetten.,00:14:41.180,00:14:45.180
"Dan ik citeer nu,",00:14:45.180,00:14:46.780
Dat is een 1 op 1 overname ...,00:14:47.340,00:14:49.340
"van Bill en Melinda Gates,",00:14:49.340,00:14:50.960
"Deze wereld, onze wereld, uw wereld,",00:14:51.120,00:14:53.460
kan eerst in normaliteit over gaan ...,00:14:53.460,00:14:55.300
nadat er een inentingsmiddel gevonden is tegen Covid-19 ...,00:14:55.300,00:14:57.200
"Maarja da n hebben we Covid-20,",00:14:57.200,00:14:59.200
en dan hebben we Covid-21.,00:14:59.200,00:15:00.660
"Met andere woorden ,,,",00:15:00.660,00:15:02.600
2 Mensen met de farmaceutische industrie ...,00:15:02.960,00:15:05.440
dicteren als elk jaar weer wat ons in onze aderen slaan moeten.,00:15:05.680,00:15:09.320
Met alle bijwerkingen ...,00:15:09.320,00:15:10.740
"want de medicamenten kunnen niet zo snel getest worden als nieuwe ziekten er bij komen,",00:15:10.900,00:15:14.960
en dat allemaal is een business model.,00:15:14.960,00:15:16.620
Daar steekt heel wat anders achter ...,00:15:16.620,00:15:18.480
namelijk een digitale identiteit.,00:15:18.780,00:15:20.900
"Velen van u zullen daar heel zeker nog niets van gehoord hebben,",00:15:20.900,00:15:22.640
"en daarom hou ik het kort,",00:15:22.640,00:15:24.140
Het heet ID2020 ...,00:15:24.280,00:15:26.280
"Men verkoopt het ons als ""Ieder mens heeft het recht op een digitale identiteit"".",00:15:26.500,00:15:30.380
"Dat als hij door de wereld reist,",00:15:30.400,00:15:32.400
"men kan ook zeggen schopt,",00:15:32.400,00:15:33.740
"Dat men hem dan aan iedere grens herkennen kan,",00:15:34.060,00:15:36.480
is hij diegene voor wie hij zich houd.,00:15:36.700,00:15:38.960
"En daarmee hij deze krijgt,",00:15:38.960,00:15:40.660
heeft hij een digitale identiteit nodig ...,00:15:40.660,00:15:42.600
"die in de cloud opgeslagen is,",00:15:42.600,00:15:44.140
en ook de inentingspas.,00:15:44.140,00:15:46.020
Alleen als u voor alles ingeënt bent mag u van A naar B reizen.,00:15:46.340,00:15:49.100
"En deze data, bewegingsdata,",00:15:49.380,00:15:51.680
de totale controle ...,00:15:51.680,00:15:53.460
"waar u heen gaat, waar u geënt bent en zo voorts,",00:15:53.760,00:15:55.920
"dat loopt dan in een cloud van een privé firma,",00:15:56.200,00:15:58.960
"En ik kan u ding vertellen, één van deze grote firma's ...",00:15:59.240,00:16:02.820
